dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0060,Funkcionalna analiza,P,Nacima Memić,Opći smjer | Primijenjena matematika,Master,2,I godina,G1,14,VRC,SRIJEDA,14:00,17:00,3
D0204,Teorija izračunljivosti,P,Damir Hasić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,6,III godina,G1,13,428,UTORAK,12:00,15:00,3
D0106,Metodika nastave matematike I,P,Dina Kamber Hamzić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,6,III godina,G1,13,VRC,PETAK,14:00,17:00,3
D0158,Parcijalne diferencijalne jednadžbe,P,Senada Kalabušić,Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,11,RC,PONEDJELJAK,14:00,17:00,3
D0033,Baze podataka,P,Adis Alihodžić,Nastavnički smjer (matematika),Master,1,I godina,G1,11,ABG,SRIJEDA,15:00,18:00,3
D0044,Diskretna matematika,AV,Franjo Šarčević,Nastavnički smjer (matematika) | Opći smjer,Bachelor,2,I godina,G1,20,426,SRIJEDA,15:00,17:00,2
D0004,Algebarski računarski paketi,P,Emin Bešo,Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,20,428,SRIJEDA,14:00,16:00,2
D0045,Diskretna matematika,P,Damir Hasić,Nastavnički smjer (matematika) | Opći smjer,Bachelor,2,I godina,G1,20,428,PETAK,08:00,10:00,2
D0226,Uvod u kompjutersku geometriju,P,Esmir Pilav,Kompjuterske nauke,Bachelor,6,III godina,G1,20,419,UTORAK,13:00,15:00,2
D0217,Topologija,AV,Franjo Šarčević,Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,20,RC,SRIJEDA,12:00,14:00,2
